ID,Solution History
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
1,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
2,288
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
3,498
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
4,2452
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
5,2856
